特色,連結事業,従業員数（単独）,従業員数（連結）,平均年齢,平均年収
メッキ薬品大手で自動車、電子部品向けに強み。荏原、エンソンからＭＢＯ。海外展開を強化中,薬品87(39)、装置13(15)、他0(-15769)【海外】73(2024.3),241,548,45.1,8440000
米ドライルーブ社と技術提携で発足。固体被膜潤滑剤で先駆。受託加工主力。自動車向け多い,ドライルーブ100【海外】32(2024.6),121,506,41.1,5770000
ゼラチンで日本一、世界５位。兼営のペプチドは国内２位。米国、インド、中国等で現地生産,フードソリューション40、ヘルスサポート49、スペシャリティーズ11【海外】52(2024.3),249,946,42.4,7840000
東大・京大発ベンチャー。ｉＰＳ試薬・モデル細胞、遺伝子改変等研究支援と再生医療の２本柱,研究支援86(21)、メディカル14(64)【海外】63(2024.3),26,96,33.8,5450000
農薬と肥料の開発・製造企業。大塚化学からＭＢＯで分離独立。植物成長調整剤にも注力,農薬41、肥料・バイオスティミュラント59【海外】72(2023.12),174,585,41.7,6990000
旧ソニーケミカルが再上場。異方性導電膜、光学弾性樹脂などニッチな電子部材・材料に強い,光学材料部品48(31)、電子材料部品52(35)【海外】78(2024.3),1352,1892,43.9,7650000
殺虫剤（虫ケア用品）首位、口腔衛生用品他日用品も。大塚製薬グループ。傘下にバスクリン、白元,家庭用品83(4)、総合環境衛生17(5)(2023.12),1410,4886,42.2,6610000
粘着テープ専業。梱包用から電機・産業用へ展開。寺岡敬之郎会長がＭＢＯ目的にＴＯＢ,梱包・包装用テープ14、電機・電子用テープ48、産業用テープ38【海外】30(2023.3),478,651,43.2,5930000
有機中間体等を製造。母体で農薬原体供給先のクミアイ化学工業と５月合併、４月２６日上場廃止,農業70(12)、化成品27(7)、他3(3)【海外】72(2016.10),216,630,38.1,6560000
珪藻土原料の濾過助剤メーカー。ビール・飲料、プール向け等。中国の合弁生産品で海外深耕,濾過助剤61、建材・充填材16、化成品16、他6【海外】19(2024.3),160,215,48.1,5350000
全農系農薬専業大手。医薬中間体、電子材料、樹脂のファインが柱。中国で有機リン化合物生産,農薬57(0)、ファインケミカル39(24)、繊維資材4(5)、他0(2)【海外】20(2023.11),632,750,45.1,6650000
食品用など液体、粘体包装用フィルムの製造販売トップで国内シェア３割超。高速充填機も販売,液体充填用フィルム74、ラミネート汎用品11、他製品4、包装機械5、周辺機器3、他商品4【海外】16(2024.3),542,654,40.6,5920000
全農系農薬専業首位、環境負荷低減の新製品開発を推進。化成品強化課題。配当性向３割超目標,農薬・農業関連80(11)、化成品14(2)、他6(6)【海外】60(2023.10),794,---,39.9,7800000
農薬専業大手。自社品でブラジル、インド等開拓。医薬品原料も。病害虫雑草診断アプリ事業化,農薬95(7)、農薬以外の化学品4(24)、他2(13)【海外】72(2024.3),---,1534,42.0,7730000
殺虫剤３位。除菌剤、園芸用品も。殺虫剤東南アジア強く、欧州を深耕中。エステーと継続提携,殺虫剤80、家庭用品3、園芸用品6、防疫剤2、他9【海外】58(2024.3),233,2596,41.5,6630000
接着剤の草分け。文具から建設・工業用へ。親会社カネカが完全子会社化、７月２８日上場廃止,建築土木44、工業関連38、一般消費者17、他1【海外】23(2022.3),345,549,44.1,7120000
石油元売り大手。太陽電池も。業界再編で１９年３月末に上場廃止予定。出光興産と経営統合へ,石油94(4)、エネルギーソリューション5(-6)、他1(8)(2017.12),722,4465,44.6,9170000
石油元売り大手。上流開発が柱。アブダビ政府系が筆頭株主。１５年９月２８日上場廃止、再上場へ,石油97(-3)、石油化学1(-14)、石油開発2(58)、他1(6)【海外】13(2015.3),1687,---,41.3,7320000
出光興産の石油精製会社。京浜製油所擁し、製油所内で水江発電所を運用。発電事業が柱に成長,石油84(5)、電気16(33)(2022.3),437,511,43.1,7460000
ＥＮＥＯＳ系石油販社。主力は灯油やＡ重油。北海道でＬＰガス、建機レンタル、リサイクルも,石油89(0)、リサイクル4(9)、環境関連3(11)、ホームエネルギー2(19)、レンタル2(19)(2024.3),89,244,47.7,6530000
石油系ワックス専業メーカー。キャンドル、タイヤ、包装材料が主用途。伊藤忠と資本業務提携,ワックス83、重油16、他1【海外】30(2023.12),217,266,41.6,5730000
道路舗装等の改質アスファルト・乳剤でトップ。一般舗装工事の受注、施工は地域子会社が担当,アスファルト応用加工製品35(15)、道路舗装64(9)、他0(56)(2024.3),455,917,43.2,7130000
石油精製大手。米国エクソンモービル日本法を１２年買収し独立。１７年４月にＪＸと経営統合へ,石油製品89(2)、石油化学製品11(16)【海外】17(2016.12),1947,3393,38.9,9010000
金属加工油剤で国内首位。車などの部品製造時に使う切削油剤が柱。海外でも日系企業が主顧客,金属加工油剤97、ビルメンテナンス3【海外】63(2024.3),370,974,45.7,6820000
石油メジャーＢＰが実質筆頭株主。自動車用潤滑油が主力。カー用品店、ディーラー等販路多様,【単独事業】潤滑油100、ケミカル0、他0(2023.12),83,---,47.6,9570000
石油精製専業で業界中堅。原油開発のアラビア石油と精製の富士石油が統合。出光の持分会社,石油精製販売100(2024.3),493,675,42.3,7490000
独立系の化学品メーカー。自動車向けなど特殊潤滑油、合成潤滑油、素材、ホットメルトが４本柱,化学品100(2)【海外】41(2024.2),387,821,43.9,6740000
石油元売り２位。石油化学や原油・石炭開発も。昭和シェル石油と１９年４月１日に経営統合,燃料油81(3)、基礎化学品7(3)、高機能材6(5)、電力・再生可能エネルギー2(-5)、資源4(32)、他0(3)【海外】27(2024.3),4985,13991,42.3,9800000
１７年４月に東燃ゼネラルと経営統合、国内シェア５割の石油元売り首位。銅など非鉄事業兼営,エネルギー84(2)、石油・天然ガス開発1(45)、金属11(5)、他3(10)【海外】25(2024.3),888,43683,44.1,9470000
石油元売り大手を傘下に置く持株会社。風力発電など再エネで多角化。岩谷産業の持分会社,石油86(4)、石油化学11(-2)、石油開発1(53)、再生可能エネルギー1(20)、他1(5)【海外】12(2024.3),240,6611,43.1,11180000
分譲マンションのデータベース構築し提供。ＧＡｔｅｃｈｎｏｌｏｇｉｅｓの連結子会社に,【単独事業】プラットフォーム65、デジタルマーケティング28、他6(2024.2),63,---,39.9,6090000
独自開発のＡＩ顔認証基盤「ＡＩＺＥ」展開。ＳＩ受託と２本柱。画像処理サーバー会社を買収,ＡＩソリューション69(1)、ＧＰＵサーバー31(1)(2024.8),236,465,35.3,4690000
マーケティングやＥＣ、広告収益化の支援ツール展開。東南アジアなど海外売上比率５割超,マーケティングプラットフォーム50、パートナーグロースプラットフォーム36、Ｄ２Ｃプラットフォーム14、他0【海外】55(2023.12),---,1861,35.1,9700000
ＡＩ活用のビジネスコンサルティングと解析システム提供。金融、製造業向けに幅広く展開,【単独事業】アナリティクス・ＡＩサービス100(2023.12),60,---,34.2,6650000
米セールスフォースのコンサル柱。米サービスナウとの連携提案育成。パソナグループの持分社,Ｓａｌｅｓｆｏｒｃｅコンサルティング57、他コンサルティング9、カスタマーサクセス25、ＤＸ5、エデュケーション4(2024.3),306,338,38.3,5610000
ライブ配信サービス「ツイキャス」運営。配信者報酬となる課金アイテム向けポイント販売が柱,【単独事業】ライブ配信コミュニケーション100(2024.1),41,---,34.5,7760000
ライブ配信などを行うＶチューバーグループ「にじさんじ」を運営。グッズ販売が収益柱,【単独事業】ライブＳ16、コマース59、イベント6、プロモーション18、他1【海外】20(2024.4),454,---,31.2,5110000
プロジェクト管理ツール「Ｂａｃｋｌｏｇ」が柱。セキュリティ管理やオンライン作図ツールも,Ｂａｃｋｌｏｇ94、Ｃａｃｏｏ3、Ｔｙｐｅｔａｌｋ1、ＮｕｌａｂＰａｓｓ2(2024.3),144,159,37.5,7320000
スマホアプリで取得した流データを解析したリアル行動データを活用、顧客のＤＸを支援,【単独事業】ＢｅａｃｏｎＢａｎｋ100(2024.6),72,---,34.0,6710000
システム開発・運用会社。新聞社などが主要顧客。新規顧客の開拓進める。中国・香港でも展開,情報システム96(5)、越境ＥＣ4(-26)(2023.12),186,440,40.8,5700000
クラウドインテグレーター先駆。「アジュール」などＭＳ関連に強み、運用・保守でサブスク拡大,クラウドインテグレーション17(13)、クラウドサービス13(15)、ライセンス＆プロダクツ70(2)、他0(45)(2024.9),2612,2700,34.8,6220000
在宅医療担う訪問看護師へ記録書類作成等支援ツールをクラウド提供、事務作業の業務代行も,【単独事業】訪問看護ステーション向けサービス提供100(2023.12),85,---,37.2,5500000
オフィスや商業施設、都市開発などの空間設計・施工の大手。従業員の約６割がデザイナー,ディスプレイデザイン・建築デザイン・他51、オフィスデザイン・プロジェクトＭ・他49(2023.12),160,202,33.0,5960000
オフィスの設計、レイアウト、インテリアが主力。新興企業が主要顧客。オフィス賃貸事業開始,ブランディング96(12)、データ・プレイスソリューション4(7)(2024.3),---,264,33.4,7170000
再生可能エネ発電所のＥＰＣ（設計・調達・施工）や自社所有発電所による供給事業を展開,エンジニアリング43(0)、エネルギーサプライ57(10)(2024.6),57,405,36.2,6230000
２１年１０月、前田建設工業、前田道路、前田製作所が株式移転による共同持株会社を設立して誕生,建築35(2)、土木20(18)、舗装32(6)、機械5(5)、インフラ運営2(-6)、他6(4)(2024.3),99,8224,41.9,10990000
若者対象の軽量鉄骨造アパートを建設、一括借り上げして管理受託行う、１都３県にエリア限定,賃貸住宅38(7)、賃貸開発22(15)、賃貸経営40(12)(2024.2),181,181,43.9,7050000
高速道路、橋梁、下水道など土木工事に強み、建築はマンション、工場、学校など大型案件に実績,【単独事業】土木工事34(11)、建築工事66(-2)、他0(45)(2024.4),270,---,44.3,7340000
タイヤ国内３位。農機や産業車両向けタイヤ強化。ホース配管や工業資材、ゴルフクラブも展開,タイヤ89(11)、マルチプル・ビジネス10(7)、他1(0)【海外】72(2023.12),5575,34139,41.0,6410000
和菓子、テニス関連、旅行業、ゴム事業や漫画編集と多角展開。東南アジア金融は持分会社に移行,食品50(5)、スポーツ13(2)、ゴム28(7)、コンテンツ8(31)、他0(-28)(2024.3),93,323,52.6,---
工業用ゴム製品と樹脂製品軸に生産。再生ナイロン等リサイクル品も。エンビプロＨＤがＴＯＢ,【単独事業】コンパウンド53(1)、ゴム加工47(-1)(2023.3),144,---,49.5,4890000
タイヤ国内４位。北米での大口径ＳＵＶ用に強み。自動車ゴム製品も。三菱商事が筆頭株主,タイヤ91(15)、自動車部品9(0)、他0(-16)【海外】78(2023.12),3672,10395,40.5,6420000
タイヤ世界首位級。米ファイアストン買収など世界展開。タイヤ管理などサービス型事業を加速,日本22(17)、米州48(10)、欧州・ロシア・中近東・インド・アフリカ21(3)、中国・アジア・大洋州9(9)、他0(7)【海外】86(2023.12),14106,125199,41.6,7480000
タイヤ国内２位。商標はダンロップ中心にファルケンも育成。ゴルフ用品やスポーツ施設運営も,タイヤ85(6)、スポーツ11(10)、産業品他4(4)【海外】70(2023.12),7705,39975,40.7,6330000
ゴム引布、産業用資材大手。ゴルフシャフトに定評。アウトドアスポーツ用品展開。フジクラ系,産業用資材58(1)、引布加工品13(-1)、スポーツ用品28(37)、他1(9)【海外】43(2024.3),766,2307,41.1,5760000
プラスチックフィルムと建装、産業資材が主。コンドームや自動車内装材、壁紙等と多角展開,産業用製品67(3)、生活用品33(27)、他0(10)【海外】38(2024.3),1176,2782,40.1,6210000
「Ｖｉｄｅｏクラウド」として動画配信プラットフォーム提供、動画制作やＤＸコンサルも展開,【単独事業】Ｖｉｄｅｏクラウド97、他3(2024.6),284,---,28.4,4810000
材紹介・派遣企業向けクラウド業務管理システム提供。ストック売上９割超。直販で顧客深耕,ＨＲ‐Ｔｅｃｈ100(24)、Ｇｌｏｂａｌ　ＨＲ‐Ｔｅｃｈ‥(2023.12),72,---,35.3,6000000
歯科向け材サービスが柱。クリック課金が収益源。ＢｔｏＢの健康アプリも。メドレーがＴＯＢ,【単独事業】材サービス92(46)、ヘルスケア8(-35)(2023.8),86,---,36.1,5970000
クラウド型マーケ支援が軸。戦略コンサルなどへ展開。２２年１０月持株会社化。ＪＧＩＡがＴＯＢ,エンタープライズ・ソフトウェア67(44)、デジタル・マーケティング運用支援28(-5)、ＥＣ4(-16)、他1(65)(2022.3),118,195,32.6,5290000
基幹システムのクラウド移行、構築と保守運用サービスを展開。ＡＩ分野軸にＳａａＳも育成,【単独事業】クラウドサービス100(2024.8),326,---,27.7,5610000
ビジネスマッチング専業で技術探索・用途開拓・調達支援、銀行等へのＳａａＳ提供展開。調査も,【単独事業】探索・マッチングサービス66、リサーチサービス28、他6(2024.7),89,---,38.9,6550000
ＡＩ軸にソリューション提供、課題発見から運用まで一気通貫。自社技術ＡＩ新サービスに注力,【単独事業】ソリューション提供57、他43(2023.10),90,---,31.0,6400000
ＩＴセキュリティなどネット製品販売と企業システム構築が柱。グループでＤＸ事業に注力,ネットワーク22、セキュリティ44、ソリューションサービス34(2024.3),22,206,40.2,6150000
学習塾に管理システム「コミル」をＳａａＳで提供。経営管理など基幹系システムの拡販に注力,【単独事業】教育事業者等向け業務管理プラットフォーム100(2023.10),78,---,33.3,5130000
ホテルや旅館向けに予約サイトや会話ツール、決済システムを提供。台湾などアジア圏へ展開,【単独事業】ホスピタリティソリューション100(2023.10),85,159,34.4,5380000
法向けにクラウド型車両管理サービス展開、自動車、保険会社等へＯＥＭ・事業化支援も,国内ＦＯ84、国内ＡＯ15、海外モビリティＤＸ1(2024.9),93,95,36.0,---
レンタルスペースの予約プラットフォーム「インスタベース」展開、手数料収入が収益源,【単独事業】マッチングプラットフォーム100(2024.3),39,---,33.1,6470000
社員の口コミ会社情報サイト「ＯｐｅｎＷｏｒｋ」と企業の採用支援。リンク＆モチベ子会社,【単独事業】ＯｐｅｎＷｏｒｋ35、ＯｐｅｎＷｏｒｋリクルーティング64、他1(2023.12),122,---,32.9,6730000
運動靴大手で車両内装材、プラスチックフィルム、新建材など多角展開。学童靴「瞬足」で有名,シューズ13(-8)、プラスチック51(2)、産業資材36(5)【海外】22(2024.3),1267,1726,42.0,5700000
自動車部品の独立系メーカー。一般産業資材も。すべての国内自動車メーカーにシール製品納入,自動車用部品・一般産業資材100【海外】57(2024.3),1368,---,45.2,5900000
自動車内装照明向けＬＥＤ用ゴムで採用車種拡大。家電用高精密、医療、スポーツ用ゴム等も,工業用ゴム79(5)、医療・衛生用ゴム21(8)【海外】26(2024.3),319,490,41.4,5230000
独立系自動車ホース大手。２輪車ブレーキホース高シェア。ホンダ主体。熱交換器（ＩＨＸ）も,自動車ホース等100【海外】72(2023.12),356,2386,42.8,7330000
ワイパーやブレーキなど自動車用ゴム製品大手。独立系。北米、アジアなど海外生産を増強中,機能品41(11)、防振42(6)、金属加工8(0)、ホース6(4)、産業機器4(20)【海外】54(2024.3),1153,4538,44.0,5920000
伝動用ベルト草分け、ホースと２本柱。半導体消耗品と自動車用ベルトの合弁持分２社貢献大,ベルト・ゴム製品33(12)、ホース・チューブ製品36(0)、化工品13(4)、他産業用製品13(4)、他5(39)【海外】30(2024.3),1092,2965,43.3,6640000
使い捨て医療器具メーカー。シリコン製カテーテルが主力。中国・大連やベトナムで開発・生産も,泌尿器系45、消化器系28、外科系9、血管系7、看護・検査系他11【海外】34(2023.12),314,978,45.9,6270000
消防・防災関連など各種ゴムホースの専業。航空・宇宙関連では海外企業とも組み国際展開,消防・防災65(10)、航空・宇宙・工業用品31(13)、不動産賃貸4(18)(2024.3),312,345,41.3,5900000
自動車用防振ゴム大手。トヨタほか自動車各社へ納入、建機や事務機器向け部品も。住友電工系,自動車用品91(6)、一般産業用品9(4)【海外】69(2024.3),3295,25624,40.9,6640000
Ｖベルトなど伝動ベルトの大手。自動車用中心に産業機械用、ＯＡ機器に製造販売。建材も,国内ベルト33(20)、海外ベルト52(5)、建設資材9(8)、他6(3)【海外】53(2024.3),771,4480,41.0,6960000
コンドーム大手。マレーシアで生産。輸出は中国、東南ア等。事務用、食品包装用フィルムも,ヘルスケア76(21)、プラスチック製品20(0)、他3(-43)【海外】21(2024.3),197,854,40.7,5050000
Ｖベルト国産化先駆。自動車用で高シェア。ＯＡ用精密部品・化成品も展開。医療関連にも注力,自動車部品49(8)、産業資材34(10)、高機能エラストマー製品13(-1)、他4(1)【海外】58(2024.3),1287,4023,42.9,6770000
日産系の自動車用ゴム部品大手。日産グループ向けが６割強を占める。政策投資銀がＴＯＢへ,車体部品39、防振部品23、ホース部品13、ブレーキ部品5、艤装部品6、小物部品2、バンパー部品1、他11【海外】52(2016.3),297,4414,45.5,6250000
コンドーム大手。旧岡本理研から独立。緩衝器との２本柱。医療製品やＳＰ用ゴム風船も展開,医療機器32(0)、精密機器56(20)、ＳＰ10(5)、食品容器3(13)【海外】14(2024.3),267,272,41.4,5360000
三菱系。ディスプレー、建築、自動車でガラス世界級。アジアで化学品拡大。５Ｇ関連素材育成,建築ガラス24(7)、オートモーティブ25(4)、電子15(6)、化学品28(11)、ライフサイエンス6(-10)、セラミックス他2(4)【海外】68(2023.12),8047,54985,43.2,8630000
住友系のガラス専業。建築・自動車用が９割。英ピルキントン買収で世界展開。欧州比率大,建築用ガラス45(7)、自動車用ガラス50(3)、高機能ガラス5(17)、他0(-215)【海外】83(2024.3),1717,25356,47.0,7350000
製瓶・ガラス食器大手。紙器等に多角化。大手飲料向けペットボトル予備成形品が収益柱に成長,ガラスびん21(9)、ハウスウェア24(7)、紙容器15(3)、プラスチック容器26(17)、産業器材5(16)、他9(1)(2024.3),448,1849,43.7,5640000
ガラス繊維が発祥。プリント基板向け電子材料が主力。電気絶縁材料や産業用構造材料を拡大中,電子材料60(1)、産業用構造材料25(14)、電気絶縁材料6(12)、ディスプレイ材料8(27)、他1(16)【海外】56(2024.3),607,1468,44.9,5660000
ガラス瓶製造最大手。自動車部品・電子部品用ガラスのほか、飲料用キャップも。利益上期偏重,ガラスびん関連66(8)、プラスチック容器関連10(5)、物流関連20(3)、ニューガラス関連4(-7)、他0(-59)【海外】6(2024.3),747,1856,45.0,6710000
医療用ガラス専業、シェア３割。管瓶、アンプルの製造販売が主。２３年末に小熊社長がＭＢＯ実施,アンプル12、管瓶78、他10(2023.3),117,192,33.1,4660000
ＦＰＤ用ガラスと自動車用ガラス繊維の２本柱。韓国、台湾、中国の液晶パネル企業が主顧客,電子・情報48、機能材料52【海外】85(2023.12),1731,5554,44.5,7510000
液晶用ガラス基板加工事業を縮小、ロボット・太陽電池・半導体など新規事業育成で再建図る,【単独事業】基板75(-60)、不動産賃貸15(-10)、半導体加工10(-110)(2023.12),79,---,49.3,3150000
半導体製造向け石英部品大手。山形、福島、中国に製造拠点。親会社ＧＬサイエンスと経営統合,半導体100【海外】52(2024.3),303,565,38.5,5480000
光学ガラス老舗メーカー。生産量は国内トップ。一貫生産に強み。セイコー、キヤノンが大株主,光56(0)、エレクトロニクス44(18)【海外】55(2023.10),476,1461,41.5,6360000
住友系。国内シェア３位。廃棄物再資源化や売電で実績。半導体製造装置用材料や光電子を育成,セメント72(-1)、鉱産品7(16)、建材10(6)、光電子1(-33)、新材料8(15)、他2(15)(2024.3),1319,2973,43.0,6900000
セメント首位。米国、アジア展開。骨材、建材等多角化。石炭灰、汚泥、産廃等の再利用も収益源,セメント70(5)、資源7(10)、環境7(9)、建材・建築土木8(6)、他7(5)【海外】40(2024.3),1840,12689,39.7,7220000
太平洋セメントに販売を委託。工場は都会立地。不動産兼営。太平洋セメントが完全子会社化へ,セメント関連30(1)、資源25(5)、環境11(11)、不動産賃貸3(41)、生コンクリート22(0)、住生活9(-3)、他1(5)(2016.3),174,459,42.6,6650000
ビル外壁に使われる押出成形セメント板メーカー。工法開発に積極的。環境関連製品を育成,押出成形セメント製品77、スレート関連4、耐火被覆等6、他13(2024.3),327,348,44.9,6360000
メタバースのプラットフォームＯＥＭ供給とメタバースイベント企画・運営。ＢｔｏＢに強み,メタバースサービス52、ＸＲイベントサービス23、ＸＲ周辺サービス25(2023.12),136,149,33.1,4250000
会員である広告主と掲載媒体結ぶマッチングサイト運営。ＳＮＳ向け口コミ情報支援サイトも,【単独事業】メディアレーダー50、トラミー42、他8(2023.12),71,---,28.2,4490000
個がコンテンツを投稿・販売するメディア「ｎｏｔｅ」を運営。法向け「ｎｏｔｅｐｒｏ」も,【単独事業】ｎｏｔｅ80、ｎｏｔｅ　ｐｒｏ15、法向けサービス4、他1(2023.11),152,152,36.4,7000000
ライブ配信アプリ「ふわっち」運営。配信者はアマチュア主体、視聴者のアイテム課金が収益源,一般消費者向け関連99、自治体向け・企業向け関連1(2024.3),---,88,35.3,6950000
顔認証のＡＩサービス会社。通信・金融の本確認に実績。データ活用による最適化事業に注力,ＩｏＰ　Ｃｌｏｕｄ100(2023.11),60,62,37.1,7470000
全国の開発会社と連携しエンジニアと企業をマッチング。自社社員による受託開発も手がける,【単独事業】ＤＸ推進100(2024.3),188,---,35.0,4310000
２３年７月再エネ事業買収、主軸に。遊技機向け映像ソフト開発。ＡＩ活用の企業業務システムも,再エネソリューション85(15)、ＩＴソリューション13(7)、ＳａａＳ2(-95)(2024.1),11,130,33.2,3300000
Ｗｅｂサイトを高速、安全に稼働させる保守・運用サービスが柱。クラウドで月額課金提供,ＫＵＳＡＮＡＧＩマネージドサービス69、クラウドインテグレーションサービス16、ライセンス販売15(2023.11),19,20,43.8,6490000
ソフトウェアの検証サービスとシステム受託開発、業務系ソフトの開発・販売。ＥＲＰに強み,【単独事業】検証68(18)、開発32(24)(2024.3),418,---,38.2,4180000
Ｖチューバー事務所「ホロライブプロダクション」を運営。グッズ販売とライセンスが収益柱,【単独事業】配信／コンテンツ25、ライブ／イベント19、マーチャンダイジング41、ライセンス／タイアップ15【海外】33(2024.3),602,---,33.0,5250000
建設・プラント向けＤＸコンサル、ＢＩＭ設計システムのＳａａＳ開発受託。システム外販も,プロダクト共創開発90(46)、共創プロダクト販売9(-116)、自社プロダクト1(-371)(2024.6),83,153,38.5,7300000
世界各地域で展開する大企業や自治体向けＤＸ支援が主。不振の海外拠点中心に構造改革実施,デジタルコンサルティング97(-21)、他3(176)(2023.12),21,1013,38.0,7840000
クラウド型システム開発主力。ＡＩ、ＩｏＴ使いデータ収集・解析分野へ展開。研究機関に強い,【単独事業】クラウドインテグレーション73、データインテグレーション21、他7(2024.6),108,---,33.1,5650000
事務系のシステム開発を行う。調査企画段階から設計・開発・保守まで請け負う。金融向けが主,【単独事業】ソフトウエア開発100(2023.12),434,---,36.8,5250000
流通業向けに決済端末と決済システムを提供。センター利用料などのストック収入が７割近く,センター利用料41、決済端末販売売上17、開発売上8、登録設定料5、ＱＲ・バーコード精算料22、他7(2024.3),287,360,40.8,7450000
中堅・中小企業向けに営業支援クラウドサービス提供。ＩＴ技術者派遣も。２３年４月持株会社に,ＤＸ52(25)、ＢＰＯ48(12)(2024.9),0,241,---,---
ホテルやゴルフ場運営、投資再生ビジネスが主力。福利厚生サービス、再生エネルギーも展開,ホテル運営48(10)、ゴルフ運営31(13)、リソルの森14(7)、福利厚生4(5)、再生エネルギー0(2)、投資再生2(6)(2024.3),24,557,41.1,7010000
下水道向けヒューム管でシェア約２割。コンクリートパイルも大手。プレキャスト製品に注力,基礎65(5)、下水道関連30(12)、太陽光発電・不動産4(54)、他0(79)(2024.3),437,561,45.0,6500000
太平洋セメント系。官需８割以上。ボックスカルバート（矩形コンクリ管）主力。耐震工法得意,【単独事業】コンクリート関連99(6)、不動産1(41)(2024.3),195,---,46.6,5120000
ポール（柱）は電力、ＮＴＴ向けに圧倒的。パイルも大手３社の一角、高支持力杭工法の開発推進,基礎49(5)、コンクリート二次製品50(8)、不動産・太陽光発電1(61)(2024.3),369,1370,43.4,5860000
コンクリ２次製品の中堅。主力は中低層ビル用高支持力パイル。２３年にセグメント子会社譲渡,基礎99(10)、不動産賃貸1(39)(2024.2),151,198,44.8,5670000
パイル（基礎工事用杭）、電柱などコンクリート２次製品大手。情報関連・廃棄物処理、ホテルも,コンクリート二次製品82(15)、情報関連9(11)、他9(25)(2024.3),346,1167,41.0,6530000
ＩＨＩ子会社。都市部地下インフラ構造材でトップ級。ＩＨＩがＴＯＢ実施、６月１８日上場廃止,土木83(1)、建築17(-2)(2012.3),60,119,43.5,7020000
建築用床、壁材のスパンクリート（穴あきＰＣ板）大手。関東、東北地盤。プレキャスト製品撤退,スパンクリート66(-26)、不動産11(51)、プレキャスト23(-20)(2024.3),67,---,49.3,5230000
コンクリ２次製品大手。主力は土木関連。舗装材にも強み。庭園等エクステリア製品開発に注力,土木資材70(4)、景観資材23(-1)、エクステリア7(3)(2024.3),309,405,43.4,4950000
静岡地盤。マンションや事業用不動産を開発。ＲＥＩＴ運用。祖業のコンクリはファブレス化,レジデンス12(5)、不動産開発67(20)、賃貸・管理等18(10)、マテリアル3(3)、他0(71)(2024.3),40,57,36.1,6020000
建設用コンクリート製品の大手。スチール・合成セグメントなどに強み。日本製鉄の子会社,土木100(2024.3),291,471,47.8,7340000
長野県地盤。建設資材、電設中心に石油製品販売、自動車販売など多角経営。中国で生コン製販,建設関連12(5)、電設資材53(3)、カーライフ関連24(1)、住宅・生活関連11(6)(2024.6),538,1037,41.8,5340000
土木中心のコンクリート２次製品メーカー、九州の有力企業。Ｍ＆Ａで本州に再展開。官需７割,コンクリート48(15)、水門・堰19(10)、地質調査11(12)、道路用伸縮装置16(7)、構造物の点検5(14)、情報機器1(22)、不動産0(60)(2024.3),---,815,---,---
九州の大手コンクリ２次製品メーカー。土木向けは九州・東北、建築向けは首都圏・九州に展開,土木用セメント製品78(17)、建築用セメント製品18(2)、他4(-1)(2024.3),524,598,44.0,5250000
コンクリート２次中堅。マンホールからライン導水ブロックへ製品展開。無電柱化製品など育成,【単独事業】コンクリート関連59(1)、建築設備機器関連37(5)、不動産関連4(35)(2024.3),122,---,43.7,5110000
コンクリートパイル（基礎杭）製造・施工でトップ。設計から建設まで独自の一貫請負体制を構築,基礎工事・コンクリート杭79、同・鋼管杭6、同・場所打ち杭13、他3【海外】16(2024.3),785,2543,43.2,6660000
ハネックス、日本ゼニスパイプ、羽田コンクリート工業が統合。１８年１０月にホクコンと経営統合,コンクリート83(16)、セラミック5(10)、工事8(22)、他3(34)(2018.3),358,461,---,---
ハネックス、日本ゼニスパイプ、羽田コンクリート工業３社統合のゼニス羽田にホクコン合流,コンクリート70(19)、パイル7(3)、防災13(33)、他10(22)(2024.3),595,1077,---,---
炭素製品大手。タイヤ用カーボン素材や電炉用電極、半導体用素材も。子会社でカソード事業,カーボンブラック41(14)、ファインカーボン12(23)、Ｓ＆Ｌ23(3)、黒鉛電極17(1)、工業炉関連他7(19)【海外】79(2023.12),789,4444,42.5,7930000
炭素製品大手。電炉向け電極、半導体やリチウムイオン電池向け製造。航空機用はＧＥ等と合弁,炭素製品関連91(17)、炭化けい素製品関連6(22)、他2(17)【海外】48(2023.12),181,650,42.4,7750000
独立系炭素製品の大手。アルミ製錬用電極で世界シェア４割超、電炉用電極も。海外比率高い,アルミニウム製錬用カソードブロック71、造黒鉛電極16、特殊炭素製品10、ファインパウダー及び他炭素製品3【海外】80(2024.3),268,271,43.0,7440000
等方性黒鉛の先駆者、世界シェア３割とトップ。原料調達から製造・加工までの一貫生産に強み,特殊黒鉛49、一般カーボン（機械用）8、一般カーボン（電気用）9、複合材他29、商品5【海外】56(2023.12),999,1778,42.9,7280000
森村グループ中核。研削砥石トップ。電子部品向けのセラミック材料や乾燥炉、焼成炉が成長,工業機材40(4)、セラミック・マテリアル34(13)、エンジニアリング21(8)、食器5(-2)【海外】45(2024.3),1772,4821,44.4,6590000
衛生陶器シェア６割、温水洗浄便座「ウォシュレット」で存在感。リフォームと海外開拓に重点,グローバル住設（日本）67(5)、グローバル住設（海外）27(5)、新領域5(30)、他0(32)【海外】33(2024.3),7923,33444,44.8,7290000
セラミックス技術で排ガス用ハニカムや半導体装置用等展開。祖業のガイシも。森村グループ,エンバイロメント63(18)、デジタルソサエティ24(2)、エネルギー＆インダストリー14(1)【海外】77(2024.3),4738,19730,40.2,8550000
